지역ID,교육청,구군,학교수_합계,학생수_합계_계,학생수_합계_여자,학급수_합계_계,교원수_합계_계,교실수_계,일반교실수,교과교실수,특별교실수,학교용지_합계,교지면적_계,체육장,교사면적_총계,교수학습공간,지원공간,관리행정공간,보건위생공간,공유면적,냉난방면적_총계,난방_계,냉방,비난방,일반전기_kWh,심야전기_kWh,전기_총사용량_kWh,상수도_톤,가스_m3,유류_L,탄류_kg,신재생에너지_kWh,학생1인당_전기사용량,학생1인당_수도사용량,학생1인당_가스사용량,학급당학생수,교원1인당학생수,학생1인당_교원수,학생1인당_학교용지,학생1인당_교지면적,학생1인당_교사면적,학생1인당_냉난방면적,면적당_전기사용량,냉난방면적당_전기사용량,교수학습공간비율,관리행정공간비율,공유면적비율,냉방면적비율,비난방면적비율,학생1인당_전기사용량_점수,면적당_전기사용량_점수,냉난방면적당_전기사용량_점수,학생1인당_교사면적_점수,학생1인당_학교용지_점수,학생1인당_냉난방면적_점수,교원1인당학생수_점수,학급당학생수_점수,에너지_비효율점수,공간_과잉점수,운영_구조점수,종합_비효율점수,교육자원_효율점수,비효율_위험등급,주요_비효율유형,AI_추천개선방향
경기도교육청_구리시,경기도교육청,구리시,7,4387,2072,186,431,313,198,45,59,246188,239002,155482,92842,22840,25265,6879,4991,28698,92842,53679,72806,12056,3943222,,3943222,63859,192583,,,156333,898.8424892,14.55641669,43.89856394,23.58602151,10.17865429,0.09824481422,56.11762024,54.47959881,21.16298154,21.16298154,42.47239396,42.47239396,0.2460093492,0.07409362142,0.3091057926,0.7841924991,0.1298550225,5.999452464,18.38141437,18.38141437,6.857881595,2.973494657,6.857881595,15.39945789,21.93928945,14.25409374,5.563085949,18.66937367,11.43998261,88.56001739,매우 낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
경기도교육청_군포시,경기도교육청,군포시,8,6168,2862,266,618,408,283,50,66,124970,115913,45515,111969,32300,31711,8612,5891,30315,111969,64253,77705,34217,4961025,,4961025,69330,167033,86,,57465,804.3166342,11.24027237,27.08057717,23.18796992,9.980582524,0.1001945525,20.26102464,18.79263943,18.15321012,18.15321012,44.30712965,44.30712965,0.2884727023,0.07691414588,0.2707445811,0.6939867285,0.3055935125,3.859844107,23.40010922,23.40010922,3.708124822,0.0882587684,3.708124822,11.81443242,17.66655761,16.88668752,2.501502804,14.74049502,10.81068476,89.18931524,매우 낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_김포시,경기도교육청,김포시,16,13716,6695,463,1052,737,492,35,152,414955,367048,98360,219958,53339,60031,16799,12476,61247,219958,130646,169003,50594,9329994,39640,9369634,164710,517942,105102,,317605,683.1170895,12.00860309,37.76188393,29.62419006,13.03802281,0.07669874599,30.25335375,26.7605716,16.03659959,16.03659959,42.59737768,42.59737768,0.2424962947,0.07637367134,0.2784486129,0.768342138,0.2300166395,1.116472372,18.72329204,18.72329204,1.493070119,0.8923012623,1.493070119,67.15296663,86.75369112,12.85435215,1.292813834,76.95332888,17.84458333,82.15541667,매우 낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
경기도교육청_남양주시,경기도교육청,남양주시,21,20160,9858,720,1624,1006,739,50,182,708767,398021,127712,284261,73575,76322,21887,16901,85407,284261,151732,198256,61149,13850746,21508,13872254,209481,647155,1122,,447358,688.1078373,10.39092262,32.10094246,28,12.4137931,0.08055555556,35.15709325,19.74310516,14.10024802,14.10024802,48.80111588,48.80111588,0.2588290339,0.07699614087,0.3004527529,0.6974435466,0.2151156859,1.229438773,35.6928583,35.6928583,0,1.286885438,0,55.85464062,69.31944658,24.20505179,0.4289618126,62.5870436,20.45191457,79.54808543,낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
경기도교육청_동두천시,경기도교육청,동두천시,6,2659,1407,117,279,183,118,19,38,110599,110599,37429,71572,13105,20782,5024,3550,19711,71572,48023,48935,17789,3445506,,3445506,62215,221852,,,,1295.790147,23.39789395,83.43437382,22.72649573,9.53046595,0.1049266642,41.59420835,41.59420835,26.91688605,26.91688605,48.14041804,48.14041804,0.1831023305,0.07019504834,0.2754009948,0.6837170961,0.2485469178,14.98442833,33.88560027,33.88560027,12.8794019,1.804854174,12.8794019,3.667489525,12.71304004,27.58520962,9.187885989,8.190264784,17.31703844,82.68296156,매우 낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_부천시,경기도교육청,부천시,28,17735,8745,770,1812,1304,840,119,285,456413,456413,179601,374348,105745,106920,32463,20919,98811,374348,235069,250843,91741,16720914,,16720914,219434,672148,1753,,32641,942.8200733,12.37293487,37.89952072,23.03246753,9.787527594,0.1021708486,25.73515647,25.73515647,21.1078658,21.1078658,44.66676461,44.66676461,0.2824778014,0.08671877504,0.2639549296,0.6700797119,0.2450687595,6.994892352,24.38384663,24.38384663,6.800202412,0.5287401176,6.800202412,8.320209851,15.9973769,18.58752854,4.709714981,12.15879337,12.07209284,87.92790716,매우 낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_성남시,경기도교육청,성남시,36,24073,12026,1025,2433,1683,1072,80,442,684295,637996,229116,458932,127543,134835,37635,26754,117361,458932,289983,344578,106764,21568947,360991,21929938,338445,807762,,,281167,910.9765297,14.05911187,33.55468782,23.48585366,9.894369092,0.1010675861,28.42582977,26.50255473,19.06417979,19.06417979,47.78472192,47.78472192,0.2779126319,0.08200561303,0.2557263385,0.7508258304,0.2326357717,6.274108478,32.91263708,32.91263708,4.661463959,0.7452477652,4.661463959,10.2540013,20.86407616,24.03312755,3.356058561,15.55903873,14.49118663,85.50881337,매우 낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_수원시,경기도교육청,수원시,45,33812,15846,1402,3347,2288,1397,200,550,1219204,925050,327988,682276,180471,176623,54634,34802,178789,682276,443163,465950,183365,32315070,35523,32350593,469093,1593772,993,,647215,956.7784514,13.8735656,47.13628298,24.11697575,10.10218106,0.09898852478,36.05832249,27.35863007,20.1785165,20.1785165,47.41569834,47.41569834,0.2645131882,0.08007609824,0.2620479102,0.6829347654,0.2687548734,7.310842549,31.90321826,31.90321826,5.827628804,1.359403726,5.827628804,14.01532074,27.63861388,23.70575969,4.338220445,20.82696731,15.52692513,84.47307487,매우 낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_시흥시,경기도교육청,시흥시,17,14226,6753,525,1200,793,524,104,118,268963,246883,96826,221015,67463,53263,14060,13601,57061,221015,107575,146729,69524,10080561,,10080561,167605,448869,,,557738,708.6012231,11.78159708,31.55272037,27.09714286,11.855,0.08435259384,18.90643891,17.35435119,15.53599044,15.53599044,45.61030247,45.61030247,0.3052417257,0.0636155917,0.2581770468,0.6638870665,0.3145668846,1.69330995,26.9647789,26.9647789,0.9691774886,0,0.9691774886,45.74069289,59.62807329,18.54095592,0.6461183257,52.68438309,16.50453496,83.49546504,매우 낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
경기도교육청_안산시,경기도교육청,안산시,24,18165,8681,797,1788,1232,835,73,235,482338,477268,149751,381799,97061,111425,32005,24285,101653,381799,234108,252529,97468,15377232,13308,15390540,263117,720662,412,,197794,847.2634187,14.48483347,39.67310762,22.79171895,10.15939597,0.09843104872,26.55315167,26.27404349,21.01838701,21.01838701,40.31058227,40.31058227,0.2542201525,0.08382683035,0.2662474234,0.6614187046,0.2552861584,4.831951674,12.46804318,12.46804318,6.706561933,0.5945608977,6.706561933,15.05088947,13.41315365,9.922679346,4.669228254,14.23202156,8.467700241,91.53229976,매우 낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
